g,start,end
0,120000,124000
0,196959,200200
0,242795,245889
0,283400,288011
0,333348,335708
0,376704,381906
1,159490,163100
1,205000,208313
1,246600,249928
1,288731,291984
1,336466,339424
1,382651,385828
2,163299,166438
2,208467,211840
2,250078,253361
2,292151,295724
2,339572,343334
2,385958,388953
3,166600,169830
3,211990,215075
3,253509,257018
3,295873,299016
3,343492,346849
3,389082,392760
4,169960,173180
4,215200,218222
4,257171,260736
4,299147,303066
4,347006,350918
4,392961,396261
5,173300,176200
5,218364,221648
5,260913,264547
5,303198,306140
5,351061,354178
5,396423,399750
6,176300,179784
6,221800,224760
6,264733,267888
6,306262,309416
6,354310,357571
6,399886,403627
7,179900,183590
7,224924,228072
7,268021,271511
7,309620,312854
7,357733,361960
7,403770,407255
8,183700,187570
8,228215,232744
8,271652,274680
8,313019,316224
8,362117,365476
8,407432,411568
9,187640,190867
9,232887,235863
9,274808,278000
9,316364,319567
9,365606,369147
9,411698,415649
10,191082,194850
10,236000,239330
10,278204,281379
10,319764,322345
10,369329,372031
10,415808,418539
